video_id,Left,Right,prop_c0,prop_c1,prop_c2,video,miss_left_pct,miss_right_pct,csv_path
IMG_8216_15fps,amarillo,rojo,,,,,,,
IMG_8217_15fps,rojo,rojo,,,,,,,
IMG_8218_15fps,verde,verde,,,,,,,
IMG_8219_15fps,verde,verde,,,,,,,
IMG_8220_15fps,amarillo,amarillo,,,,,,,
IMG_8221_15fps,verde,amarillo,,,,,,,
IMG_8222_15fps,rojo,rojo,,,,,,,
IMG_8223_15fps,amarillo,amarillo,,,,,,,
IMG_8226_15fps,,verde,,,,,,,
IMG_8227_15fps,,amarillo,,,,,,,
IMG_8228_15fps,verde,verde,,,,,,,
IMG_8229_15fps,verde,amarillo,,,,,,,
IMG_8230_15fps,rojo,verde,,,,,,,
IMG_8231_15fps,rojo,verde,,,,,,,
IMG_8232_15fps,amarillo,amarillo,,,,,,,
IMG_8233_15fps,,amarillo,,,,,,,
IMG_8234_15fps,verde,amarillo,,,,,,,
IMG_8235_15fps,amarillo,amarillo,,,,,,,
IMG_8236_15fps,amarillo,verde,,,,,,,
IMG_8237_15fps,verde,amarillo,,,,,,,
IMG_8239_15fps,amarillo,amarillo,,,,,,,
IMG_8240_15fps,verde,amarillo,,,,,,,
IMG_8241_15fps,amarillo,amarillo,,,,,,,
IMG_8242_15fps,verde,verde,,,,,,,
IMG_8243_15fps,amarillo,verde,,,,,,,
IMG_8244_15fps,verde,rojo,,,,,,,
IMG_8307_15fps,amarillo,verde,,,,,,,
IMG_8308_15fps,amarillo,rojo,,,,,,,
IMG_8309_15fps,amarillo,verde,,,,,,,
IMG_8310_15fps,amarillo,verde,,,,,,,
IMG_8311_15fps,verde,verde,,,,,,,
IMG_8313_15fps,amarillo,amarillo,,,,,,,
IMG_8314_15fps,amarillo,amarillo,,,,,,,
IMG_8315_15fps,rojo,amarillo,,,,,,,
IMG_8316_15fps,verde,verde,,,,,,,
IMG_8317_15fps,verde,rojo,,,,,,,
IMG_8318_15fps,verde,rojo,,,,,,,
IMG_8319_15fps,rojo,rojo,,,,,,,
IMG_8320_15fps,verde,rojo,,,,,,,
IMG_8321_15fps,verde,rojo,,,,,,,
IMG_8322_15fps,amarillo,rojo,,,,,,,
IMG_8323_15fps,amarillo,amarillo,,,,,,,
IMG_8324_15fps,rojo,rojo,,,,,,,
IMG_8347_15fps,amarillo,amarillo,,,,,,,
IMG_8349_15fps,amarillo,verde,,,,,,,
IMG_8350_15fps,amarillo,verde,,,,,,,
IMG_8351_15fps,verde,verde,,,,,,,
IMG_8353_15fps,rojo,amarillo,,,,,,,
IMG_8354_15fps,verde,rojo,,,,,,,
IMG_8355_15fps,amarillo,rojo,,,,,,,
IMG_8356_15fps,verde,amarillo,,,,,,,
IMG_8357_15fps,verde,verde,,,,,,,
IMG_8358_15fps,rojo,rojo,,,,,,,
IMG_8359_15fps,amarillo,verde,,,,,,,
IMG_8363_15fps,amarillo,verde,,,,,,,
IMG_8364_15fps,rojo,amarillo,,,,,,,
IMG_8365_15fps,rojo,verde,,,,,,,
IMG_8366_15fps,amarillo,amarillo,,,,,,,
IMG_8367_15fps,verde,amarillo,,,,,,,
IMG_8369_15fps,verde,amarillo,,,,,,,
IMG_8385_15fps,amarillo,rojo,,,,,,,
IMG_8386_15fps,amarillo,rojo,,,,,,,
IMG_8389_15fps,amarillo,amarillo,,,,,,,
VID_20250820_101845_15fps,amarillo,verde,,,,,,,
VID_20250820_101943_15fps,amarillo,verde,,,,,,,
VID_20250820_102035_15fps,amarillo,rojo,,,,,,,
VID_20250820_103040_15fps,verde,verde,,,,,,,
VID_20250820_104712_15fps,rojo,rojo,,,,,,,
VID_20250820_104800(1)_15fps,rojo,amarillo,,,,,,,
VID_20250820_104800_15fps,rojo,amarillo,,,,,,,
VID_20250820_105321_15fps,verde,rojo,,,,,,,
VID_20250820_105354_15fps,verde,verde,,,,,,,
VID_20250820_105424_15fps,rojo,verde,,,,,,,
VID_20250820_110522_15fps,rojo,amarillo,,,,,,,
VID_20250820_110611_15fps,amarillo,rojo,,,,,,,
VID_20250820_110636_15fps,verde,rojo,,,,,,,
VID_20250820_111306_15fps,amarillo,rojo,,,,,,,
VID_20250820_111335_15fps,verde,rojo,,,,,,,
VID_20250820_111701_15fps,verde,verde,,,,,,,
VID_20250820_111744_15fps,rojo,amarillo,,,,,,,
VID_20250820_111820_15fps,verde,rojo,,,,,,,
VID_20250820_112216_15fps,verde,rojo,,,,,,,
VID_20250820_112254_15fps,amarillo,,,,,,,,
VID_20250820_112316_15fps,rojo,verde,,,,,,,
VID_20250820_112631_15fps,verde,verde,,,,,,,
VID_20250820_112703_15fps,verde,verde,,,,,,,
VID_20250820_112728_15fps,verde,amarillo,,,,,,,
